nim,tgl_lahir,ipk,sks,bobot,ta,lama_studi,tgl_yudisium
B12.2017.03585,,3.32,149,0.0,0,4.2,2021-11-25
B12.2017.03589,,3.51,149,0.0,0,4.2,2021-11-25
B12.2017.03645,,3.59,149,0.0,0,4.2,2021-11-25
C13.2017.00057,,3.45,146,0.0,20202,4.2,2021-11-25
A14.2016.02393,,3.6,147,0.0,20202,4.9,2021-08-30
D11.2017.02449,,3.22,145,0.0,0,4.2,2021-11-23
D12.2017.00042,,3.33,153,0.0,0,4.2,2021-11-23
D22.2018.02270,,3.09,118,0.0,0,3.2,2021-11-23
A12.2017.05727,,3.0,144,0.0,20202,3.9,2021-08-30
A11.2015.09036,,2.77,144,0.0,20211,6.2,2021-11-29
A11.2015.09068,,3.13,150,0.0,20211,6.2,2021-11-29
A11.2015.09170,1997-12-28,3.04,144,0.0,20211,6.2,2021-11-29
A11.2016.09491,,3.17,144,0.0,20211,5.2,2021-11-29
A11.2016.09611,1997-12-03,3.07,149,0.0,20211,5.2,2021-11-29
A11.2016.09612,,2.68,145,0.0,20211,5.2,2021-11-29
A11.2016.09721,,3.08,146,0.0,20211,5.2,2021-11-29
A11.2016.09944,,3.04,144,0.0,20211,5.2,2021-11-29
A11.2017.10057,,3.19,146,0.0,20211,4.2,2021-11-29
A11.2017.10060,,3.34,146,0.0,20211,4.2,2021-11-29
A11.2017.10062,,3.42,146,0.0,20211,4.2,2021-11-29
A11.2017.10071,,3.57,149,0.0,20211,4.2,2021-11-29
A11.2017.10072,,3.51,146,0.0,20211,4.2,2021-11-29
A11.2017.10075,,3.62,155,0.0,20211,4.2,2021-11-29
A11.2017.10080,,3.34,147,0.0,20211,4.2,2021-11-29
A11.2017.10083,,3.51,146,0.0,20211,4.2,2021-11-29
A11.2017.10110,1998-07-30,3.13,146,0.0,20211,4.2,2021-11-29
A11.2017.10116,,3.3,146,0.0,20211,4.2,2021-11-29
A11.2017.10125,,3.03,144,0.0,20211,4.2,2021-11-29
A11.2017.10144,1998-02-23,3.11,146,0.0,20211,4.2,2021-11-29
A11.2017.10152,,2.84,144,0.0,20211,4.2,2021-11-29
A11.2017.10173,1999-07-25,3.32,146,0.0,20211,4.2,2021-11-29
A11.2017.10215,,3.21,146,0.0,20211,4.2,2021-11-29
A11.2017.10222,,3.46,146,0.0,20211,4.2,2021-11-29
A11.2017.10228,1998-10-10,3.08,146,0.0,20211,4.2,2021-11-29
A11.2017.10239,,3.52,146,0.0,20211,4.2,2021-11-29
A11.2017.10264,,2.87,146,0.0,20211,4.2,2021-11-29
A11.2017.10272,,3.08,146,0.0,20211,4.2,2021-11-29
A11.2017.10280,,3.2,146,0.0,20211,4.2,2021-11-29
A11.2017.10282,,3.37,146,0.0,20211,4.2,2021-11-29
A11.2017.10318,,3.26,146,0.0,20211,4.2,2021-11-29
A11.2017.10331,,3.24,146,0.0,20211,4.2,2021-11-29
A11.2017.10343,,3.4,146,0.0,20211,4.2,2021-11-29
A11.2017.10360,,3.64,146,0.0,20211,4.2,2021-11-29
A11.2017.10392,,3.34,144,0.0,20211,4.2,2021-11-29
A11.2017.10399,,3.12,146,0.0,20211,4.2,2021-11-29
